key_id,key,operation,pX,pY,LR,state,delta,time_diff,time_since_beginning,press_to_press,release_to_press,hold_time
16,3,1,0,0,0,1,0,0,0,0,0,83
1,u,1,0,0,0,1,0,0,0,0,0,117
2,s,1,0,0,0,1,0,0,0,0,0,150
3,r,1,0,0,0,1,0,0,0,0,0,109
4,1,1,0,0,0,1,0,0,0,0,0,111
5,p,1,0,0,0,1,0,0,0,0,0,109
6,s,1,0,0,0,1,0,0,0,0,0,67
7,s,1,0,0,0,1,0,0,0,0,0,83
8,w,1,0,0,0,1,0,0,0,0,0,107
9,o,1,0,0,0,1,0,0,0,0,0,91
10,r,1,0,0,0,1,0,0,0,0,0,74
11,d,1,0,0,0,1,0,0,0,0,0,101
12,1,1,0,0,0,1,0,0,0,0,0,108
13,2,1,0,0,0,1,0,0,0,0,0,83
14,3,1,0,0,0,1,0,0,0,0,0,92
